text@avg1995f	@avg1995f	0.01	7.61	животное это дорого не зря кроме как в России везде сложно завести животное да? ну мы говорим о развитых странах //
text@avg1995f	@avg1995f	7.61	10.55	там в Европе / особенно в штатах / в Канаде //
text@avg1995f	@avg1995f	10.55	15.67	аа у меня вот подруга в Канаде например они было кошку сложнее завести чем ребенка //
text@avg1995f	@avg1995f	15.67	34.27	действительно / справки про то что ты психоло... ээ психологически здоровый человек / что у тебя есть достаточное количество денег / что ты зарабатываешь / что ты работаешь на нормальной работе / что у тебя есть место где жить / что кошечке есть место где жить / ии на что кормить и как кормить / что ты в принципе это все понимаешь то есть ну блин это так здорово //
text@avg1995f	@avg1995f	34.27	39.69	в любом районе мне кажется Москвы можно открыть какую-то чудную квартиру а там собаки друг на друге ходят в однушке //
text@avg1995f	@avg1995f	39.69	48.06	да /  потому что это вот заводчик шпицоов // нет / я говорю прям про крайности да // ну есть нормальные люди которые нормально даже в квартирах держат этих же собак //
text@avg1995f	@avg1995f	48.07	55.12	но есть крайности // когда люди сходят с ума / от одиночества / от аа жажды денег и прочее прочее //
text@avg1995f	@avg1995f	56.03	61.71	да / я именно про разводчиков говорю // у нас большинству людей нужен ээ нужна не собака / а психотерапевт //
text@avg1995f	@avg1995f	69.51	71.54	на самом деле это правильно потому что //
text@avg1995f	@avg1995f	72.36	75.82	но потом проблема кончится а она останется / проблема еще в этом //
text@avg1995f	@avg1995f	75.835	95.99	у тебя уже будет дефицит времени / дефицит аэ профицит какого то внимания еще что-то / а ей еще жить двенадцать лет // это не спонтанное решение / это друг который с тобой проживет промежуток времени но очень важно осознавать что для тебя собака или кошка это кусок жизни / а для них ты вся жизнь //
text@avg1995f	@avg1995f	96.0	105.13	почему бы не создать этому существу те условия чтобы понимать что / какая же я молодец что дала ему все //
text@avg1995f	@avg1995f	105.14	126.11	я не говорю о том что / не знаю / о собаках в шубах / и вот эти вот все движения да / ну это реально как бы / нет / люди у которых есть на это средства и реально некуда потратить ради бога / ну пожалуйста / прям здорово / классно // люди / ну правда / начинают какие-то платьишки покупать дорогущие еще какую-то историю / ты понимаешь что там / не знаю / к тебе пришла собака / а собака одета лучше чем женщина //
text@avg1995f	@avg1995f	126.11	129.86	тыт... какое плохое слово / ну ты что ? #смеется# зачем?
text@avg1995f	@avg1995f	135.52	140.77	это к слову о том что собственно метисы не болеют / да они может и не болеют / но вот как бы //
text@avg1995f	@avg1995f	141.59	142.38	привет //
text@avg1995f	@avg1995f	212.41	240.7	да ладно ну короче позвонила она мне // Алин / что делать? орет белугой / я говорю сейчас все устроим / знакомые хирурги вот это вот все / по району / ну поближе к Насте // вот / подпрягла своих знакомых ребят / как бы зашили собаку э // и вот это вот все / то есть / я отправляла туда куда я знала что / не возьмут лишних денег / помогут ии распишут все адекватно / да там / не отправляя собаку на укол два раза в день которые ей нафиг не нужны //
text@avg1995f	@avg1995f	240.7	246.23	в панике зарабатываются самые большие бабки / вызывными службами //
text@avg1995f	@avg1995f	247.02	253.56	ты вызвала бы врача домой // вот // аа а здесь уже куда попадешь //
text@avg1995f	@avg1995f	253.58	266.03	нас настоко часто обвиняют в том что да вы / да коновалы / да посмотрите на свои тачки / вот это вот все // типо да вы тут бабки вообще вот так вот просто делаете / типо вы посмотрите на свои цены //
text@avg1995f	@avg1995f	266.03	285.03	вы серьезно щас? ну то есть / ну блин / надо чуть дифференцировать моменты кто зарабатывает деньги / а кто много работает // вот мы много работаем работники крупных клиник потому что это / а это ж система / мы работаем в системе // как человек который работает в крупной компании / нет / мы не зарабатываем миллионы // 
text@avg1995f	@avg1995f	285.03	295.02	зарплаты человека в Москве кто много р.... работает // мы работаем / извините / больше двухсот часов в месяц / это много плюс еще переработки которые просто не учитываются //
text@avg1995f	@avg1995f	314.25	343.28	это на официально / это за то что платят да как бы еще // вот / мы еще говорим о том что постоянно ты висишь на телефоне / сидишь до часу ночи разбираешься с пациентом звонишь там не знаю сидишь с людьми / потому что они не могут отпускать не отпускать что делать как быть и вот это вот все / то есть / я реально самый экономически выгодный шаг который я сделала за последние пару лет это переехать в шаговую доступность от работы / ну потому что ну какая разница мне в принципе удобнее было бы переехать туда уже да / то есть ну как бы // ну да //
text@avg1995f	@avg1995f	343.28	354.169	учитывая что я действительно там живу // ну то есть / у меня уже / как бы там друзья звоня не спрашивают чем я занята / как бы первый вопрос ты на работе? мы действительно пашем / прям откровенно пашем //
text@nh1994f	@nh1994f	15.41	17.99	 там справки какие то собирать //
text@nh1994f	@nh1994f	54.58	57.81	ты аа про разводчиков так называемых?
text@nh1994f	@nh1994f	61.46	69.85	вот это тоже частая история то что / если тебе плохо / если там у тебя какие-то проблемы / заведи кошечку / заведи собачку //
text@nh1994f	@nh1994f	70.84	72.96	ну / с одной стороны да но вот //
text@nh1994f	@nh1994f	114.23	116.61	дай бог да вот // 
text@nh1994f	@nh1994f	127.74	129.84	#смеется#
text@nh1994f	@nh1994f	129.85	135.55	я не так давно завела собаку / я забрала ее у волонтера / она с улицы и это очень проблемная собака //
text@nh1994f	@nh1994f	142.42	164.07	она действительно нервически сложная то есть она там // аа она лает у меня на подъезд / сначала лаяла на людей и лаяла на всех собак / то есть мы занимаемся с кинологом / мы прорабатываем определенные ыа упражнения / я ей делаю массаж / чтобы ее расслабляло / чтобы она / адекватно реагировала на подъезд и на других собак //
text@nh1994f	@nh1994f	164.07	171.0	 то есть это действительно морально очень сложно / очень много занимает времени и / касательно денег //
text@nh1994f	@nh1994f	171.02	187.51	аа / просто / когдаа Алина в начале сказала что на щеночка или на котенка может упасть ноутбук / это ужасно / я этим делилась в своем блоге / но они действительно первое время когда ты их токо забираешь они прям крутятся у тебя в ножках / ну мама / мама / мама / я с тобой / я рядышком //
text@nh1994f	@nh1994f	187.52	192.14	и у меня в этот момент / когда моя собака была в ногах / разбивается чашка //
text@nh1994f	@nh1994f	192.15	213.34	осколок падает на спину / ей полоснуло по спине рас... всю кожу там распороло // я в шоке / я как бы у меня там истерика была в итоге когда все это закончилось потому что / у меня щенок только два дня а я уже разбила чашку и / как бы мы ездили зашивать собаку / ну то есть естественно мы поехали в ветеринарную клинику / хорошую //
text@nh1994f	@nh1994f	246.21	252.8	я там без машины у меня есть собака / у меня нет мужика как бы что делать? не на руках же я ее там потащу //
